traj	n_patients	bootstrap_support
R03->I10->E66	1747	1
R03->I10->R05	1431	1
E66->R74->K76	1195	1
K04->K02->K08	1181	1
R73->E11->E66	1130	1
M79->M75->R10	1122	1
I10->R73->E11	1060	1
R03->I10->F41	973	1
N39->N76->B37	906	1
J20->N39->J22	898	1
R07->F41->M79	891	1
R07->F41->M25	874	1
F41->M79->M77	873	1
M79->M75->R42	873	1
R42->F41->M25	872	1
R07->M79->M77	861	1
M25->M75->R10	855	1
R07->M79->M75	851	1
R42->F41->M79	850	1
R42->F41->N39	850	1
F41->M79->M75	846	1
M79->M77->M75	832	1
R10->K29->F41	814	1
I10->E11->E66	812	1
I10->R74->K76	812	1
M79->M77->R05	807	1
F41->N39->B37	799	1
R07->R05->J22	796	1
R10->K29->B96	793	1
R07->F41->N39	778	1
I48->I50->N18	767	1
R10->K30->B96	740	1
N30->N39->B37	739	1
M79->M77->R42	731	1
R03->I10->R73	729	1
M25->R74->K76	722	1
F41->M25->M77	707	1
R42->F41->F32	707	1
F41->N39->J22	702	1
M79->M77->L30	702	1
R10->K29->N39	701	1
N39->L29->B37	694	1
R10->N23->N20	694	1
R03->I10->R63	685	1
H10->M79->M77	684	1
F41->M25->M75	665	1
R07->M79->J22	664	1
F41->M79->J22	663	1
F41->M25->J22	658	1
M79->M75->L30	657	1
D50->N92->D25	655	1
R06->I50->N18	654	1
F51->F41->M25	648	1
M25->M77->M75	646	1
R03->I10->E11	645	1
J20->J40->J45	642	1
H61->H60->H66	640	1
H10->M79->M75	632	1
F51->F41->F32	628	1
F41->K04->K08	627	1
B34->R05->J22	626	1
J20->J30->J45	619	1
R10->R74->K76	612	1
F41->N39->N76	605	1
F51->F41->M79	605	1
R07->M79->L30	604	1
R10->R20->G56	604	1
M25->M75->R42	600	1
R53->F41->M25	600	1
F41->M25->M17	597	1
I10->R05->J22	593	1
J20->J22->J18	592	1
F51->F41->N39	583	1
J20->R06->I50	579	1
H10->M79->J22	576	1
R53->F41->M79	576	1
M25->M77->R42	574	1
R07->F41->F32	574	1
N39->J22->B37	573	1
J20->R06->J45	570	1
N39->B37->L30	570	1
J20->F41->M79	569	1
R07->F41->J22	565	1
F41->N39->L30	564	1
F41->R20->G56	563	1
M25->M77->R05	559	1
R05->J22->J18	557	1
R10->K29->R42	554	1
F41->M25->L30	552	1
F41->M25->K08	550	1
J20->F41->M25	549	1
B34->J20->J22	547	1
H61->H91->M25	547	1
N39->R31->C67	545	1
R42->F41->J22	544	1
J20->F41->N39	543	1
F41->M79->L30	542	1
I10->F41->F32	542	1
J20->R42->J22	541	1
K05->K02->K08	537	1
N39->N76->L29	537	1
N30->N39->N76	535	1
R10->K30->K29	533	1
F41->R74->K76	532	1
R10->K62->I84	529	1
F51->R05->J22	528	1
I10->F41->N39	528	1
J20->R06->J44	527	1
H10->M79->L30	526	1
J20->F41->J22	525	1
R53->F41->N39	523	1
R10->B96->B37	521	1
K04->K02->R10	519	1
K05->K04->K08	519	1
R03->I10->K76	517	1
N76->L29->B37	512	1
F41->N39->L29	511	1
J20->J22->J44	511	1
B34->M79->M77	508	1
I10->F41->M25	508	1
R42->R51->N39	506	1
R53->F41->F32	506	1
B34->F41->M25	505	1
M25->M75->L30	499	1
R07->M79->K08	499	1
K02->R10->K08	498	1
N30->N39->J22	497	1
J20->F41->F32	494	1
F41->M79->K08	490	1
M25->M77->L30	486	1
R10->K59->J22	486	1
R03->I10->R74	485	1
M62->M79->M77	484	1
B34->F41->M79	483	1
H61->H60->M79	483	1
M79->M75->H54	476	1
B34->R42->F41	475	1
N39->J22->J18	475	1
F17->R74->K76	474	1
R07->R20->G56	473	1
F41->N39->K08	472	1
B34->F41->F32	471	1
M25->M17->S83	471	1
M25->S83->M23	469	1
B34->F41->N39	467	1
R51->G43->R10	467	1
M62->M79->M75	464	1
R05->J22->B37	464	1
F17->R73->E11	461	1
F51->F41->J22	460	1
J20->R42->F41	455	1
R42->F41->H61	451	1
R50->R05->J22	451	1
R07->F41->H61	449	1
R07->F41->K08	449	1
B34->R10->B96	446	1
N30->N39->L30	446	1
H60->H66->H92	444	1
I10->F41->M79	443	1
R07->R74->K76	441	1
B34->R10->J22	440	1
R03->R74->K76	440	1
B34->M79->M75	439	1
R11->R10->K29	439	1
F41->L29->B37	438	1
J20->R06->E66	438	1
R10->R74->K80	438	1
M77->M75->R10	436	1
J20->N39->B37	435	1
R03->I10->E79	435	1
R50->J20->J22	434	1
H61->H60->H91	433	1
J20->J22->B37	432	1
R05->R06->I50	430	1
F41->N76->B37	425	1
H10->K04->K08	424	1
M79->M75->R06	423	1
M25->J22->B37	422	1
M79->M77->M72	422	1
R07->R05->J40	421	1
R10->J22->B37	419	1
M25->J22->J18	416	1
R11->R10->B96	415	1
F41->F32->F43	414	1
R03->R73->E11	414	1
B34->R10->K29	413	1
B34->R10->L30	413	1
H10->R50->R05	412	1
N30->N39->L29	412	1
M75->R42->F41	410	1
I10->E66->K76	409	1
B34->M79->J22	408	1
B34->R53->F41	408	1
R51->G43->F41	407	1
R51->N39->B37	407	1
I10->E66->E79	406	1
M75->R10->K80	406	1
R10->J22->J18	406	1
J20->N39->L30	405	1
M25->M17->M23	404	1
R07->I21->I25	404	1
R42->F41->M77	404	1
R73->E11->K76	403	1
R05->J40->J45	401	1
H10->M79->K08	400	1
R05->R06->E66	400	1
H91->M25->M17	399	1
R07->I20->I25	399	1
B34->R05->J30	396	1
M77->R05->J22	396	1
R10->K59->I84	396	1
R42->F41->K08	396	1
N39->L29->L30	394	1
F41->K04->K02	393	1
K29->F41->N39	391	1
M79->J22->B37	391	1
R11->F41->N39	391	1
R50->N39->J22	389	1
H61->H60->H92	388	1
J20->R11->R10	387	1
N39->N89->B37	387	1
R07->R05->J30	387	1
F41->H61->H60	386	1
M79->J22->J18	386	1
R53->M25->J22	386	1
K29->F41->M25	385	1
B34->R05->J40	384	1
J20->K04->K08	384	1
R05->J22->J44	384	1
R07->R05->R06	384	1
R10->K59->L30	384	1
M75->R10->K29	381	1
H81->F41->M25	380	1
M77->R42->F41	380	1
N23->R03->I10	380	1
R07->F41->M77	378	1
J20->J40->J30	376	1
R03->I10->I45	376	1
R10->K29->K80	376	1
B34->R10->K08	375	1
M62->M25->M77	375	1
I10->E66->R74	374	1
B34->J20->F41	373	1
R03->I10->R00	372	1
I48->I50->D64	371	1
M75->R10->J22	369	1
N39->R31->N20	369	1
H81->F41->M79	368	1
K05->K02->R10	368	1
M75->R10->K76	367	1
H60->M79->M77	366	1
N39->N76->L30	365	1
R10->D50->N92	365	1
B34->M79->L30	364	1
R11->F41->M79	364	1
R52->K02->K08	362	1
R05->R06->J45	361	1
F41->M25->S83	360	1
I48->R60->I50	360	1
J06->R05->J22	360	1
R42->R74->K76	360	1
B34->J20->J45	359	1
F41->K62->I84	359	1
H81->F41->F32	358	1
M25->M75->R06	358	1
R11->F41->F32	358	1
S93->M25->M77	358	1
F41->M25->G56	357	1
K02->R10->B96	356	1
R03->I10->N18	356	1
I10->F41->J22	354	1
R11->F41->M25	354	1
F41->M77->M75	353	1
R42->F41->B37	353	1
M75->R10->B96	352	1
R42->F41->J30	352	1
M62->M25->M75	351	1
J20->F41->J40	350	1
R05->R06->J44	350	1
R10->K80->K76	350	1
N30->N76->B37	349	1
R11->R10->L30	349	1
H10->J22->B37	348	1
R03->I10->N40	348	1
B34->F41->J22	347	1
B34->J20->J40	346	1
H81->F41->N39	346	1
I10->R05->R06	346	1
R11->R10->J22	346	1
H61->H60->L30	345	1
R06->I50->D64	343	1
R42->F41->K59	343	1
J20->J45->E66	342	1
K29->F41->F32	342	1
R05->J30->J45	342	1
B34->R10->K59	340	1
R11->R10->K59	340	1
R50->J22->J18	340	1
H60->M79->M75	339	1
R73->E11->R63	339	1
K29->F41->M79	338	1
M25->M17->R60	338	1
M25->M75->H54	338	1
M75->R42->J22	338	1
M75->R10->K59	337	1
R07->F41->B37	337	1
J20->F17->J44	335	1
K02->R10->J22	335	1
F41->J22->B37	334	1
H60->M79->L30	334	1
R11->R10->K08	334	1
I10->F41->H61	333	1
R10->K21->B96	333	1
J20->H60->H66	332	1
J20->J18->J45	332	1
R53->D50->N92	332	1
F41->M77->R05	331	1
J20->J22->J98	331	1
R07->J22->J18	331	1
R51->I10->E66	331	1
B34->M79->K08	330	1
F41->H61->H91	330	1
B34->J20->N39	329	1
E66->R74->K80	329	1
J20->I50->N18	329	1
H10->R50->J22	328	1
J20->R53->M25	328	1
R11->R10->K80	328	1
F41->M25->M23	327	1
M75->R10->L30	327	1
R42->F41->H54	327	1
H10->R50->J20	325	1
R60->I50->N18	325	1
F41->F32->K59	324	1
J20->J40->J44	324	1
R07->F41->J30	324	1
I10->E66->R63	323	1
F41->D50->N92	322	1
F51->F41->H61	322	1
R42->F41->F43	322	1
R53->M25->L30	322	1
H10->J30->L30	320	1
F41->M25->M65	319	1
F41->M25->R63	319	1
N39->N41->N40	319	1
R53->M25->M77	319	1
H10->J22->J18	318	1
K04->K02->R42	318	1
R53->F41->J22	318	1
R53->M25->M75	318	1
N30->N39->K08	317	1
R10->I84->H10	316	1
K30->B96->B37	315	1
J06->J20->J22	314	1
M79->M75->L50	314	1
F41->M77->R42	313	1
J20->F41->K08	313	1
N39->N89->N76	313	1
K05->K04->K02	312	1
H10->K04->K02	311	1
M62->M79->L30	311	1
R05->J30->L30	310	1
B34->J22->J18	309	1
F41->J30->L30	309	1
K02->R10->K59	309	1
K02->R42->F41	309	1
J20->R53->F41	308	1
K29->R42->F41	308	1
R10->K30->K21	307	1
R42->J22->B37	307	1
R51->N39->J22	307	1
N30->R10->K59	306	1
N39->R60->I50	305	1
K02->R10->L30	304	1
K29->N39->J22	304	1
I48->I50->I34	303	1
I10->R05->J40	301	1
B34->J20->J30	300	1
R05->J40->J30	299	1
R10->K59->K57	299	1
R50->R05->J40	299	1
R07->J22->B37	298	1
R42->R51->G43	298	1
R51->N39->K08	297	1
B35->K04->K08	296	1
M62->M75->R10	296	1
R05->J01->J30	296	1
R51->I10->R05	296	1
R51->N39->L30	296	1
J20->K04->K02	294	1
I48->I50->K59	293	1
J20->F41->J30	293	1
K02->K01->K08	293	1
R53->F41->H61	293	1
S93->R03->I10	293	1
J22->J18->J44	292	1
R42->J22->J18	292	1
R50->J20->J40	292	1
B34->R42->R51	291	1
I10->E11->K76	291	1
K02->R10->K29	291	1
M62->M25->J22	291	1
M62->M25->L30	291	1
N30->L29->B37	291	1
B34->R53->M25	290	1
R07->F41->J40	290	1
N30->R10->K29	289	1
R50->J20->J45	289	1
B34->F41->K08	287	1
H60->M79->J22	287	1
I10->R05->J44	287	1
I10->R05->K21	287	1
J22->B37->L30	287	1
I48->I50->E79	286	1
J20->N39->K08	286	1
M77->M75->L30	286	1
R07->F41->R63	286	1
R42->F41->L29	286	1
I50->D64->N18	285	1
R07->F41->H54	285	1
R51->I10->F41	285	1
K29->N39->B37	284	1
R07->F41->K59	284	1
R10->K62->K57	284	1
R42->R51->L30	284	1
H60->H66->L30	283	1
M75->R10->K08	283	1
M77->M75->R42	283	1
R07->F41->F43	283	1
R07->R05->K21	283	1
R42->F41->R63	283	1
H91->M25->J22	282	1
J04->R05->J22	282	1
J20->F17->E66	282	1
F41->B37->L30	281	1
K59->K62->I84	281	1
L29->B37->L30	281	1
R53->R74->K76	281	1
B34->R10->K80	280	1
J20->F41->H61	280	1
M25->J22->J44	280	1
J22->J18->I50	279	1
M62->M79->J22	279	1
N92->N76->B37	279	1
N95->M79->M75	279	1
R00->I48->I50	279	1
R03->I10->I11	279	1
R10->R12->B96	279	1
R51->N39->N76	279	1
H91->M25->M75	278	1
M75->R10->K57	278	1
R03->I10->E03	278	1
I10->R05->J30	277	1
M75->R10->H54	277	1
N30->R30->B37	277	1
R06->R74->K76	277	1
F41->H91->M25	276	1
F51->F41->K08	276	1
R53->M25->M17	276	1
B34->F41->F43	275	1
J04->J20->J22	275	1
R07->F41->L29	275	1
J20->N39->L29	274	1
M75->R10->K30	274	1
R52->K02->R10	274	1
M25->M77->M72	272	1
R53->R06->I50	272	1
F51->K04->K08	271	1
M25->M19->M75	271	1
H61->H60->H93	270	1
R10->I84->L30	270	1
R42->F41->R30	270	1
R03->I10->J44	269	1
R53->F41->B37	269	1
B34->J20->R42	268	1
F41->J22->J18	268	1
F41->K59->J22	268	1
M25->M77->M17	268	1
R10->K59->B96	268	1
R53->F41->K08	268	1
B35->R74->K76	267	1
R10->K30->K44	267	1
F41->M79->G56	266	1
F51->F41->K59	266	1
H61->H93->H91	266	1
N39->J22->J44	266	1
F41->R30->B37	265	1
J20->J40->J18	265	1
N30->R42->F41	265	1
R07->F41->R30	265	1
B34->S93->M25	264	1
N30->R10->J22	264	1
R06->I50->I34	264	1
R06->I50->K59	264	1
R10->K85->K80	264	1
R31->N23->N20	264	1
R52->K04->K08	264	1
R10->I84->K60	263	1
R10->N23->K80	263	1
R42->F41->I84	263	1
B34->R10->N23	262	1
H10->R50->N39	262	1
K30->K29->B96	262	1
R30->N76->B37	262	1
R42->F41->L50	262	1
R51->J01->J30	262	1
R51->N39->L29	262	1
J30->R74->K76	261	1
M79->M77->M17	261	1
R07->F41->K04	261	1
R30->L29->B37	261	1
R33->N39->N40	261	1
B34->R05->J01	260	1
B34->R42->J22	260	1
N30->R10->L30	260	1
N39->R31->N40	260	1
R10->H54->H25	260	1
B34->F41->J30	259	1
J20->J01->J30	259	1
J20->N39->N76	259	1
N89->L29->B37	259	1
R42->F41->J40	259	1
M62->M79->K08	258	1
R05->J40->J18	258	1
R05->R06->J30	258	1
B34->F41->H61	257	1
J20->R11->F41	257	1
R06->I50->I35	257	1
F41->F32->D50	256	1
R07->R05->J01	256	1
I87->M79->M77	255	1
J20->R42->R51	255	1
K30->R74->K76	255	1
N89->N76->B37	255	1
R03->I10->R31	255	1
R10->R31->N20	255	1
R11->K29->F41	255	1
F41->M25->M47	254	1
F41->N95->M25	254	1
J40->J30->J45	254	1
M77->R42->J22	254	1
R52->M79->M75	254	1
J20->J18->J44	253	1
R53->M25->K08	253	1
S93->M25->M75	253	1
F41->N76->L29	252	1
F41->L29->L30	251	1
I10->F41->M77	251	1
N95->M79->M77	251	1
R42->F41->K04	251	1
B34->R05->J18	250	1
H10->H54->H25	250	1
J20->R06->J30	250	1
K29->N39->L30	250	1
R05->J22->J98	250	1
R07->F41->I84	250	1
R42->R51->K08	250	1
S72->N39->J22	250	1
F41->M79->M51	249	1
J20->S93->M25	249	1
B34->R10->K30	248	1
E11->E66->K76	248	1
F51->F41->M77	248	1
H60->H66->H91	248	1
J20->F41->M77	248	1
M79->J22->J44	248	1
S93->M25->L30	248	1
B34->J20->L30	247	1
F41->M77->L30	247	1
F51->F41->R63	247	1
I10->E11->N18	247	1
M25->E79->M10	247	1
N30->R11->R10	247	1
R07->R05->J18	247	1
F41->N39->N20	246	1
F51->F32->K59	246	1
I10->F41->K59	246	1
K02->R42->R51	246	1
M25->R74->K80	246	1
M25->S83->M22	246	1
R07->F41->L50	246	1
R50->N39->B37	246	1
F41->M25->M43	245	1
F41->N39->M43	245	1
N76->B37->L30	245	1
R50->R05->J18	245	1
I49->I48->I50	244	1
J20->N39->R60	244	1
J30->M62->M79	244	1
M62->M25->M17	244	1
M75->R10->K21	244	1
R10->K62->D12	243	1
H60->H66->K08	242	1
R06->I50->I42	242	1
S93->M25->J22	242	1
B34->R05->J45	241	1
B34->R10->H54	241	1
H10->R50->J18	241	1
M25->R60->I50	241	1
R10->D50->K29	241	1
R10->K30->K80	241	1
R11->R10->K30	241	1
R53->F41->K59	241	1
F41->K59->I84	240	1
K30->K29->F41	240	1
R42->F41->K21	240	1
J20->B37->L30	239	1
K02->R10->K80	239	1
R03->F41->M25	239	1
F41->N39->N89	238	1
H61->H66->H91	238	1
R05->J30->M77	238	1
F51->R05->R06	237	1
I87->M79->M75	237	1
N30->N39->N20	237	1
N30->R05->J22	237	1
R07->M79->M72	237	1
K02->R10->H54	236	1
R10->K59->K62	236	1
F17->K05->K08	235	1
R50->R05->J30	235	1
B34->J20->R11	234	1
F41->H61->H93	234	1
K30->K29->N39	234	1
K52->R74->K76	234	1
R07->F41->R20	234	1
R53->F41->M77	234	1
H60->H66->H62	233	1
I84->H10->M79	233	1
J30->M62->M25	233	1
N30->N39->R31	233	1
R03->I10->N20	233	1
R05->J40->J44	233	1
R06->I50->E79	233	1
B34->J01->J30	232	1
M77->R05->J30	232	1
R03->I10->I44	232	1
R42->F41->N92	232	1
R50->J20->J18	232	1
R50->J20->N39	232	1
B34->J20->J18	231	1
B34->J20->R06	231	1
M75->R10->I84	231	1
E66->D50->N92	230	1
F41->N39->R31	230	1
F41->N92->D25	230	1
N30->R10->N23	230	1
N39->R60->L89	230	1
R07->F41->K21	230	1
R51->R74->K76	230	1
D50->N92->N84	229	1
G43->F41->M25	229	1
M25->M77->S83	229	1
J20->H60->M79	228	1
J20->N39->R31	228	1
K52->K62->I84	228	1
M75->R42->R51	228	1
N30->R10->K80	228	1
R42->R51->F32	228	1
R52->M79->M77	228	1
R53->F41->F43	228	1
B34->R10->I84	227	1
F41->J30->M77	227	1
M75->R06->E66	227	1
N39->N42->N40	227	1
R07->M79->G56	227	1
R10->K44->B96	227	1
R41->F06->F03	227	1
F51->F41->J30	226	1
H10->J40->J30	226	1
J20->R42->K08	226	1
M25->M47->M51	226	1
M79->J22->J98	226	1
R11->F41->J22	226	1
R53->F41->R63	226	1
F41->N39->N10	225	1
F51->F41->F43	225	1
H61->H66->H92	225	1
H91->M25->L30	225	1
M25->M75->L50	225	1
M75->R10->N23	225	1
M77->R05->J40	225	1
N30->R30->N76	225	1
R52->N39->J22	225	1
S93->M25->M17	225	1
B34->J20->H60	224	1
B34->J20->J01	224	1
F41->M25->M70	224	1
F51->F41->B37	224	1
J20->F41->B37	224	1
J20->J30->L30	224	1
K62->I84->L30	224	1
M75->H54->H25	224	1
R42->F41->R20	224	1
B34->F41->M77	223	1
F41->H61->H66	223	1
J20->R06->N18	223	1
K59->J22->B37	223	1
M79->M77->M20	223	1
R07->M79->M17	223	1
F41->N92->B37	222	1
K02->R10->K30	222	1
M25->M17->M16	222	1
R10->K59->K04	222	1
R33->N39->J22	222	1
R42->D50->N92	222	1
R73->E11->N18	222	1
F41->N95->M79	221	1
R03->I10->F52	221	1
R10->K59->D50	221	1
F41->M25->M16	220	1
G43->F41->N39	220	1
J20->F41->F43	220	1
J20->J98->J45	220	1
J20->R53->R06	220	1
N30->R10->K08	220	1
N39->N89->L29	220	1
R52->K04->K02	220	1
F10->R74->K76	219	1
R03->F41->F32	219	1
R53->F41->J30	219	1
R73->E11->I45	219	1
F51->R05->J40	218	1
H10->J30->M77	218	1
H10->J40->J45	218	1
J20->R42->F32	218	1
M77->R42->R51	218	1
N95->M25->M75	218	1
F41->M79->M17	217	1
F41->N89->B37	217	1
H91->M25->M77	217	1
K02->R42->K08	217	1
N95->M25->M77	217	1
R50->N39->L30	217	1
B34->R10->R63	216	1
D50->K29->N39	216	1
F41->M79->M72	216	1
H60->H91->M25	216	1
I10->R74->K80	216	1
K29->F41->J22	216	1
M62->M25->K08	216	1
N30->R10->B96	216	1
R42->R51->J01	216	1
R50->J20->R11	216	1
S93->M25->K08	216	1
B34->F41->B37	215	1
F41->N39->R60	215	1
F51->F41->H54	215	1
H60->M79->K08	215	1
I10->F41->H54	215	1
J04->J20->J40	215	1
J04->R05->J40	215	1
N30->N76->L29	215	1
N39->L29->L50	215	1
R07->J22->J44	215	1
R10->J22->J44	215	1
F41->M79->M65	214	1
F51->R60->I50	214	1
J22->J18->B37	214	1
M62->M25->S83	214	1
M79->M77->M70	214	1
R05->J45->E66	214	1
R11->F41->K08	214	1
I10->F41->K08	213	1
I48->I50->L89	213	1
R05->T78->J30	213	1
R10->K29->K44	213	1
B34->J20->K08	212	1
F41->M25->M51	212	1
F41->M79->M20	212	1
H61->H92->H91	212	1
R31->N40->C67	212	1
I10->E66->I11	211	1
K02->R10->K76	211	1
M79->M47->M51	211	1
R05->R06->N18	211	1
R11->F41->B37	211	1
B34->J20->R53	210	1
H10->H04->L30	210	1
I10->F41->R63	210	1
M25->J22->J98	210	1
M62->M77->M75	210	1
G43->F41->F32	209	1
R03->F41->M79	209	1
R05->T78->L30	209	1
R07->I50->N18	209	1
R07->M79->M51	209	1
R11->F41->H61	209	1
R52->N39->B37	209	1
R73->E11->H40	209	1
B34->R05->R06	208	1
F51->F41->K21	208	1
J04->R05->J30	208	1
J06->F41->M79	208	1
J20->F41->L29	208	1
J20->H60->H92	208	1
N30->N39->N89	208	1
A08->F41->M25	207	1
R10->K59->K21	207	1
R10->K59->R60	207	1
R10->N23->K76	207	1
R10->R12->K29	207	1
R10->R63->B96	207	1
R42->F41->D50	207	1
R42->F41->H93	207	1
B34->J22->B37	206	1
F41->M25->M19	206	1
J20->F41->K04	206	1
R03->I10->T88	206	1
R05->R60->I50	206	1
F41->H54->H25	205	1
F41->M79->M47	205	1
H10->J30->J45	205	1
H81->F41->M77	205	1
I48->I50->I35	205	1
J04->J20->J45	205	1
K02->R10->N23	205	1
K62->I84->H10	205	1
N39->N10->N20	205	1
N95->M25->M17	205	1
R03->I10->R80	205	1
R10->D50->I84	205	1
R41->F06->F00	205	1
R50->R53->F41	205	1
R53->F41->N92	205	1
S93->M25->S83	205	1
F41->N89->N76	204	1
H60->H66->H72	204	1
J20->T78->J30	204	1
N30->R10->K30	204	1
R10->R14->B96	204	1
E11->E66->R63	203	1
F41->M25->R74	203	1
H81->K04->K08	203	1
K59->J22->J18	203	1
M25->M23->M22	203	1
M25->R60->L30	203	1
N39->N10->B37	203	1
R03->F41->N39	203	1
R06->I50->L89	203	1
R07->F41->N76	203	1
R10->D50->B96	203	1
R42->F41->H91	203	1
B34->J30->L30	202	1
F51->R05->J30	202	1
I10->E66->K80	202	1
J20->F41->K59	202	1
M75->R06->I50	202	1
M77->R05->R06	202	1
R07->F41->N92	202	1
R07->R05->J45	202	1
F41->I84->K60	201	1
H10->M79->M72	201	1
H61->H60->H62	201	1
H81->F41->H61	201	1
I48->I50->I27	201	1
J06->F41->N39	201	1
M75->R42->F32	201	1
R05->J30->M62	201	1
F41->K59->L30	200	0.999999999999998
H81->F41->J22	200	0.999999999999998
K05->K02->R42	200	0.999999999999998
N30->N23->N20	200	0.999999999999998
N30->R10->I84	200	0.999999999999998
N39->R60->L30	200	0.999999999999998
R06->I50->I27	200	0.999999999999998
R10->K21->K44	200	0.999999999999998
R42->R60->I50	200	0.999999999999998
R60->I50->D64	200	0.999999999999998
I10->E66->I45	199	0.999999999999997
J20->J18->I50	199	0.999999999999997
K29->F41->K08	199	0.999999999999997
R00->I48->J22	199	0.999999999999997
R05->R06->G47	199	0.999999999999997
R42->R51->I10	199	0.999999999999997
R53->F41->L29	199	0.999999999999997
B34->R10->K76	198	0.999999999999995
J22->J18->J98	198	0.999999999999995
K29->R42->R51	198	0.999999999999995
R53->M25->R63	198	0.999999999999995
F32->K59->J22	197	0.999999999999991
J06->F41->M25	197	0.999999999999991
J20->R53->F32	197	0.999999999999991
M75->R10->R63	197	0.999999999999991
R07->F41->D50	197	0.999999999999991
R07->F41->H92	197	0.999999999999991
R42->F41->R22	197	0.999999999999991
R53->F41->J40	197	0.999999999999991
H10->T78->J30	196	0.999999999999986
H81->H61->H91	196	0.999999999999986
F17->E66->K76	195	0.999999999999977
I10->R31->N40	195	0.999999999999977
R03->I10->R79	195	0.999999999999977
R06->J45->E66	195	0.999999999999977
R11->R10->R63	195	0.999999999999977
J20->R06->J98	194	0.999999999999963
M79->M75->M13	194	0.999999999999963
R50->J20->R06	194	0.999999999999963
R50->R05->R06	194	0.999999999999963
R53->F41->R30	194	0.999999999999963
R53->R73->E11	194	0.999999999999963
F41->M25->M13	193	0.999999999999939
F41->N92->N76	193	0.999999999999939
F51->F41->L29	193	0.999999999999939
H10->M79->G56	193	0.999999999999939
I48->F41->N39	193	0.999999999999939
I50->K59->J22	193	0.999999999999939
I87->M79->J22	193	0.999999999999939
J06->R05->J40	193	0.999999999999939
M62->M75->R42	193	0.999999999999939
R05->T78->L50	193	0.999999999999939
R07->F41->H91	193	0.999999999999939
R10->K30->K76	193	0.999999999999939
R50->J20->J30	193	0.999999999999939
D64->N92->D25	192	0.999999999999899
E66->E79->M10	192	0.999999999999899
G43->F41->M79	192	0.999999999999899
H10->J22->J44	192	0.999999999999899
M25->M77->M23	192	0.999999999999899
M25->M77->M70	192	0.999999999999899
R03->I10->H40	192	0.999999999999899
R42->F41->H92	192	0.999999999999899
F41->H61->H92	191	0.999999999999836
I10->R05->R60	191	0.999999999999836
K29->F41->H61	191	0.999999999999836
M75->R42->K08	191	0.999999999999836
M77->R42->K08	191	0.999999999999836
N39->J22->J98	191	0.999999999999836
R03->E11->E66	191	0.999999999999836
R07->M79->M65	191	0.999999999999836
E66->R79->K76	190	0.999999999999734
I48->D64->N18	190	0.999999999999734
K29->N39->N76	190	0.999999999999734
M25->M13->M10	190	0.999999999999734
M62->M77->R05	190	0.999999999999734
N89->N76->L29	190	0.999999999999734
R53->F41->H54	190	0.999999999999734
F41->N76->L30	189	0.999999999999569
H81->F41->K08	189	0.999999999999569
I10->F41->J40	189	0.999999999999569
I21->I25->I50	189	0.999999999999569
R07->R05->R49	189	0.999999999999569
R52->M79->J22	189	0.999999999999569
B34->R10->M43	188	0.999999999999302
K59->K04->K08	188	0.999999999999302
R07->M79->M47	188	0.999999999999302
R11->F41->F43	188	0.999999999999302
R11->K29->B96	188	0.999999999999302
F41->B49->L30	187	0.999999999998875
H10->T78->L50	187	0.999999999998875
I10->R73->K76	187	0.999999999998875
N30->B37->L30	187	0.999999999998875
R07->F41->E03	187	0.999999999998875
R10->H54->H52	187	0.999999999998875
R10->N23->K59	187	0.999999999998875
R11->K29->N39	187	0.999999999998875
R11->R10->N23	187	0.999999999998875
R42->R51->G44	187	0.999999999998875
A08->F41->F32	186	0.999999999998191
I10->E11->H36	186	0.999999999998191
I25->I50->N18	186	0.999999999998191
I48->J22->J18	186	0.999999999998191
A08->F41->N39	185	0.9999999999971
F41->M25->R60	185	0.9999999999971
H10->M79->M65	185	0.9999999999971
H81->H61->H60	185	0.9999999999971
J20->H60->L30	185	0.9999999999971
R10->D64->K29	185	0.9999999999971
R10->J22->J98	185	0.9999999999971
R53->F41->K04	185	0.9999999999971
B34->F41->J40	184	0.999999999995363
B34->R10->K21	184	0.999999999995363
B34->R42->K08	184	0.999999999995363
I48->I50->F06	184	0.999999999995363
J30->M77->R05	184	0.999999999995363
R03->I10->G47	184	0.999999999995363
R33->N39->R31	184	0.999999999995363
R73->E11->K80	184	0.999999999995363
A08->R10->B96	183	0.999999999992606
B34->R10->D50	183	0.999999999992606
I48->F41->J22	183	0.999999999992606
J20->R06->G47	183	0.999999999992606
M25->M19->M17	183	0.999999999992606
N76->L29->L30	183	0.999999999992606
R05->K21->B96	183	0.999999999992606
R07->M79->M70	183	0.999999999992606
B35->K04->K02	182	0.999999999988243
F41->I84->H10	182	0.999999999988243
F41->J40->J30	182	0.999999999988243
J20->J22->J47	182	0.999999999988243
J20->J40->T78	182	0.999999999988243
K62->I84->K60	182	0.999999999988243
N30->R11->F41	182	0.999999999988243
N39->B97->N87	182	0.999999999988243
R07->I25->E66	182	0.999999999988243
R07->K21->B96	182	0.999999999988243
R07->R74->K80	182	0.999999999988243
R10->C18->C78	182	0.999999999988243
B34->F41->K04	181	0.99999999998136
F41->M25->M22	181	0.99999999998136
J06->F41->F32	181	0.99999999998136
K02->R10->R63	181	0.99999999998136
N30->R10->K76	181	0.99999999998136
R06->D64->N18	181	0.99999999998136
R07->F41->R22	181	0.99999999998136
R11->R10->D50	181	0.99999999998136
