disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A08	B34	3992	90769	249674	5.89418498663947e-67	1.37042522418356	no
A08	K52	2554	90769	152729	5.17387287929735e-78	1.53719171583634	no
A08	K58	236	90769	20155	1.33105605868679e-05	1.34828367853	no
A08	O20	246	90769	16882	2.03712217472786e-06	1.38711201579292	no
A08	O21	242	90769	13949	6.39172500816535e-09	1.53303986141443	no
A08	R11	2516	90769	138977	2.42882478662149e-67	1.49191409104713	no
A16	R06	107	4832	121199	0.00357490378827084	1.30723209779187	yes
A38	B09	107	10498	5131	0.000167619758333788	1.48863691068422	yes
A38	E30	152	10498	6749	1.88497455120188e-06	1.55855269530916	yes
A59	K02	100	3160	251964	0.00101539177026396	1.4057363955566	no
A59	K08	157	3160	122700	2.34099817944787e-05	1.45777405379868	yes
A59	R51	130	3160	179516	0.000214389794614024	1.41634458374686	no
A60	B35	230	8144	158724	4.25670167605747e-05	1.3269870382358	no
A60	B37	236	8144	124520	8.16434103949331e-05	1.30373524256178	no
A60	N76	190	8144	92961	8.9041109892576e-05	1.34562028945452	no
A60	N89	115	8144	27821	2.93948228025906e-07	1.77861967109398	no
A63	B07	463	21956	197501	1.30950564781212e-10	1.3970853565123	no
A63	B36	162	21956	34343	1.5885310892434e-05	1.45001434072064	no
A63	B97	124	21956	12804	1.37227574747412e-19	2.87810292362451	yes
A63	N34	104	21956	11362	2.49032714964454e-06	1.73280552756567	no
A63	N48	120	21956	24184	0.00021276350385347	1.43261804041834	no
A63	N87	192	21956	26745	1.79469830196462e-19	2.24145545444613	no
A63	N89	209	21956	27821	0.000111949435710182	1.31481351798668	yes
B00	B02	673	49064	79342	1.40739628869798e-25	1.59938765842122	no
B00	B30	119	49064	13198	6.70901493836162e-07	1.71635825666017	no
B00	K12	565	49064	52091	1.43775320984586e-12	1.39604478597417	no
B00	L01	283	49064	27974	1.96157798848534e-09	1.50115611348607	no
B00	L71	138	49064	13945	0.000657246494387785	1.33657649494867	yes
B00	T15	141	49064	10424	0.00051297782678027	1.3428987601175	yes
B02	B00	705	79342	49064	5.42506163500138e-39	1.78679357527818	no
B02	G53	177	79342	5530	1.30336667968762e-40	3.92468074600663	yes
B07	A63	539	197501	21956	2.40198341074839e-12	1.40083665257195	no
B07	B08	1140	197501	53557	4.02474918206018e-19	1.34383853347192	no
