disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A04	K52	205	2154	152729	1.03492001306258e-14	1.95862565109584	no
A04	R50	182	2154	165349	0.000271306644363689	1.3271441115987	no
A07	B08	152	2343	53557	5.06769203091536e-05	1.42817526145518	yes
A07	B35	132	2343	158724	0.00127899752167121	1.32415965094871	yes
A08	A04	102	90769	2154	0.000246670580337455	1.4625327452407	no
A08	B30	423	90769	13198	1.24620782464279e-07	1.31764567278712	no
A08	B34	11079	90769	249674	0	1.67958779530486	no
A08	D63	126	90769	7487	0.00189700002758404	1.30572696140618	no
A08	E16	197	90769	5605	0.000157891858116022	1.3147039594258	no
A08	E73	327	90769	6731	6.85549105785289e-10	1.46091935120382	yes
A08	F32	3907	90769	184052	3.08160572340285e-56	1.33605230656714	no
A08	F34	459	90769	17858	8.34868627852391e-08	1.30834519949477	no
A08	F41	12058	90769	460977	7.39410029360529e-174	1.36059340967014	no
A08	F43	2485	90769	68957	8.78817241715018e-41	1.35676409974438	yes
A08	G43	2776	90769	84262	1.11635765261516e-42	1.34426708852649	no
A08	H81	3192	90769	137772	3.22567784028987e-52	1.36038440974433	no
A08	J01	4926	90769	119731	3.07051141208527e-64	1.32005460904158	yes
A08	J04	2748	90769	77421	1.13987500231247e-51	1.39088176168135	no
A08	J05	146	90769	4294	0.00070619377196516	1.31999563060226	no
A08	J06	3033	90769	85709	1.7123131614329e-50	1.36349788448131	no
A08	J10	120	90769	4096	0.000156170400641131	1.43363965817845	no
A08	K29	4449	90769	147900	3.71383214107759e-103	1.45596175189137	no
A08	K50	110	90769	3731	0.000280544567877666	1.43105635222782	no
A08	K52	7299	90769	152729	0	1.859959652654	yes
A08	K58	749	90769	20155	3.67625630123615e-37	1.72319301868992	no
A08	K90	363	90769	8708	2.63180826013948e-07	1.33569300210186	yes
A08	L55	282	90769	7445	9.69574718330845e-06	1.31770991947712	no
A08	M43	3071	90769	50989	6.26504154259679e-40	1.31174533990657	yes
A08	M62	5255	90769	127432	3.07077475427603e-74	1.33717059304506	yes
A08	O20	573	90769	16882	1.39579495588444e-15	1.45543244013759	no
A08	O21	685	90769	13949	6.388517412774e-31	1.67190910354142	no
A08	R11	6877	90769	138977	5.19372734160717e-300	1.70648759115877	no
A08	S13	1500	90769	37348	4.986728799721e-20	1.30280648871272	no
A08	S20	225	90769	11950	6.73578339571267e-06	1.37368685092571	no
A08	S40	138	90769	6978	0.0001304403245454	1.4012981013381	no
A08	S81	121	90769	6826	3.01471349912418e-05	1.50902139426739	no
A16	F10	107	4832	48648	8.50421323568997e-07	1.75189830891854	no
A16	J18	141	4832	73926	1.42925962622785e-05	1.49360793966678	no
A16	J22	405	4832	144602	2.43120313724946e-09	1.40090818880151	yes
A16	J44	215	4832	60201	3.10500038095714e-34	2.93941042733259	yes
A16	K02	336	4832	251964	1.59419124197501e-08	1.41557177194227	yes
A16	L70	116	4832	77006	0.000287930930488179	1.41960824695582	yes
A16	R04	125	4832	51637	3.29779836685649e-08	1.80281750799464	no
A38	B09	241	10498	5131	1.71431463361259e-12	1.70578704297021	yes
A38	E30	264	10498	6749	1.05710456830868e-07	1.43466201273456	yes
A38	J05	133	10498	4294	0.000861058864263326	1.33220572251608	yes
A38	J35	710	10498	36555	1.15107517860855e-21	1.52293800526586	yes
A38	L74	140	10498	4611	0.000111930743630987	1.40648537926051	yes
A38	N48	306	10498	24184	8.16609998209874e-06	1.31057212681404	yes
A41	D50	106	1584	138143	6.3895265041037e-05	1.54597063230979	no
A41	D64	117	1584	74412	2.37247059182987e-07	1.78362097190706	no
A41	E11	115	1584	161949	0.000909952383605453	1.37452716408376	no
A41	F51	152	1584	142532	0.000184273173248162	1.38420024115058	no
A41	I50	107	1584	36940	1.6117243197768e-06	1.74158731321076	no
A41	J22	272	1584	144602	5.13167109638383e-05	1.31677663457832	no
A41	N18	223	1584	86575	4.79660720556769e-16	1.99600390412888	no
A41	N39	337	1584	307847	5.19801093020044e-10	1.52373435216284	no
A41	R50	109	1584	165349	8.59267740428245e-07	1.76308741001225	no
A46	I83	100	1725	111166	1.76202325921209e-06	1.77364968817269	no
A46	L03	175	1725	64027	6.61808034546852e-35	3.56212772491595	no
A46	N18	126	1725	86575	0.00253966843515423	1.30395799537152	no
A49	B37	308	4384	124520	2.88392255929085e-10	1.51581085351093	no
A49	D64	140	4384	74412	0.000364314446781146	1.36145963626889	no
A49	J06	172	4384	85709	3.51019431150366e-06	1.47904422580723	yes
A49	J18	126	4384	73926	0.000809130065737266	1.34953700007441	no
A49	K80	121	4384	76361	0.000535591859034088	1.37835536142205	no
A49	L02	240	4384	95034	6.44266409061942e-18	1.97615451655568	yes
A49	L03	200	4384	64027	2.41676319883124e-13	1.87148053810916	yes
A49	L29	280	4384	123810	1.47095251284975e-08	1.46921925576344	no
A49	N76	210	4384	92961	7.18592670341211e-07	1.46386877836421	yes
A49	N89	105	4384	27821	7.69201868277872e-07	1.76947158460862	yes
A49	N95	120	4384	87463	0.000504955546057977	1.38326361407824	no
A49	R52	178	4384	128735	6.07164955642056e-06	1.44993762130489	no
A52	R10	128	798	462110	0.0025791235690877	1.31647225502361	no
A53	B35	214	3054	158724	1.32645370929884e-06	1.44720081227383	yes
A53	B37	124	3054	124520	0.00128949013445895	1.33343002708328	yes
A53	B49	101	3054	68525	0.0025980585303295	1.33861778466218	yes
A53	F32	149	3054	184052	0.000273323388910933	1.36234422887115	no
A53	H54	122	3054	118688	0.000233534906232236	1.41928347669567	yes
A53	I84	175	3054	146005	6.79513133472191e-05	1.37756202689034	no
A53	K59	106	3054	130936	0.00327297514402333	1.31628805710099	no
A53	L29	150	3054	123810	4.35649864523157e-08	1.69593613458289	yes
A53	L30	209	3054	130196	0.00017628829691748	1.31179414871489	yes
A54	N34	144	1888	11362	6.97736549530584e-57	11.1733734034817	no
A54	N39	142	1888	307847	0.000222840934152182	1.3885660408027	no
A56	B37	158	1445	124520	8.53498557982649e-06	1.49924337742544	no
A56	L29	143	1445	123810	1.82802444721217e-11	2.02885789125237	no
A56	N76	132	1445	92961	5.98658722990881e-07	1.68123581490695	no
A56	N87	110	1445	26745	2.68501345463139e-31	5.09206765213537	no
