disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A08	B34	2000	90769	249674	1.61154074547643e-41	1.41109687293716	no
A08	K52	1340	90769	152729	3.57674722529785e-53	1.62996420062119	no
A08	K58	120	90769	20155	0.00047961756030485	1.37802345954821	no
A08	O21	114	90769	13949	0.000229368150330393	1.43222286164009	no
A08	R11	1300	90769	138977	4.47494991004557e-42	1.54540280465722	no
A60	B35	122	8144	158724	0.000173301754313393	1.42856382939993	no
A60	B37	135	8144	124520	0.000151665919012954	1.40418038803976	no
A60	N76	104	8144	92961	0.00119384379634474	1.36869457251372	no
A63	B07	229	21956	197501	5.10498444951936e-05	1.31628897987939	no
A63	L72	186	21956	82063	3.55312285819838e-05	1.3717675294253	yes
A63	N87	116	21956	26745	3.37789063244763e-15	2.54134360899507	no
B00	B02	331	49064	79342	3.29474913792146e-14	1.6249606656553	no
B00	B49	347	49064	68525	1.2503965876823e-06	1.31688562421618	yes
B00	K12	301	49064	52091	1.6064105096284e-10	1.51917724202408	no
B00	L01	140	49064	27974	3.18752585344584e-05	1.45883123627854	no
B00	L85	119	49064	27148	0.000220135988863441	1.4207949388959	no
B00	T88	104	49064	16894	0.00360178960745874	1.3032477459585	yes
B02	B00	354	79342	49064	2.46952048595603e-19	1.76114369591125	no
B07	B08	661	197501	53557	5.82958017611162e-12	1.34165983700707	no
B07	D22	1960	197501	137295	4.77600563332727e-57	1.51116756054899	yes
B07	D23	1166	197501	71865	1.2569262561067e-64	1.79563378631703	yes
B07	L57	725	197501	34156	9.76674674757264e-29	1.6145849114341	yes
B07	L72	1277	197501	82063	1.51661831187151e-18	1.31428462904061	yes
B07	L81	408	197501	24257	5.48752503812534e-13	1.49790109198884	yes
B07	L82	1148	197501	41043	1.38437226510765e-104	2.16793515969684	yes
B07	L84	203	197501	9722	7.93573926120268e-06	1.39391404760607	yes
B07	L85	480	197501	27148	6.44539392587185e-17	1.54871624942944	yes
B07	M92	362	197501	5353	9.01973191764757e-13	1.5344570253375	yes
B07	R61	172	197501	8186	1.79919954190411e-05	1.4142859113789	yes
B08	D23	107	53557	71865	0.000469708809260483	1.41250826760683	yes
B08	F95	117	53557	5104	0.000828560733847365	1.35672599878342	yes
B08	R49	186	53557	67910	0.000212368897036055	1.31293340726738	yes
B09	L30	124	5131	130196	0.00127818965710475	1.32619477662243	yes
B18	K02	245	17550	251964	3.89543638984849e-08	1.48054923931236	yes
B18	K80	115	17550	76361	0.000365907868154961	1.40553497145063	yes
B27	D22	146	14168	137295	0.000893317275781821	1.30751340680862	no
B30	H10	342	13198	279856	1.73761719964263e-11	1.51681121275001	no
B34	A08	2029	249674	90769	5.85002244510778e-109	1.78289841763938	no
B34	A38	118	249674	10498	6.35244344616673e-06	1.60808279926776	no
B34	B09	195	249674	5131	2.62540930685215e-05	1.36807165194728	yes
B34	B27	239	249674	14168	6.3012049679364e-05	1.30146772916334	no
B34	B30	228	249674	13198	2.02869193250414e-05	1.33984725174267	no
B34	B80	417	249674	14906	4.27535486163044e-11	1.4313528919747	no
B34	B99	716	249674	22334	1.37781784012249e-11	1.31825118206708	yes
B34	J01	2601	249674	119731	1.94372984144986e-54	1.41391300659244	yes
B34	J06	1624	249674	85709	2.01799338583354e-36	1.42572045884788	no
B34	J22	4085	249674	144602	1.23455914539707e-53	1.31343798244151	yes
B34	J40	2394	249674	118305	3.34619101318186e-34	1.32326986417218	no
B34	K52	2934	249674	152729	2.45467449134912e-78	1.48683481626678	no
B34	L55	185	249674	7445	3.45440151580821e-08	1.59328093158225	no
B34	M43	1760	249674	50989	8.31183473095003e-27	1.33136152112122	yes
B34	O21	232	249674	13949	1.20314149381915e-05	1.34969713202919	no
B34	O26	161	249674	7624	1.31150447205223e-05	1.44650930080219	no
B34	R11	3060	249674	138977	1.39919939572698e-88	1.51404169885035	no
B34	R50	3184	249674	165349	2.1802753177887e-66	1.41539827362544	no
B35	A60	120	158724	8144	3.57049152498264e-07	1.7372785269417	no
B35	B00	560	158724	49064	7.38443623634518e-11	1.35157822365319	no
B35	B36	424	158724	34343	3.89404571665859e-32	1.99084010232547	no
B35	B37	1642	158724	124520	7.40313130529072e-22	1.30295489235706	no
B35	B49	1471	158724	68525	3.73049135052481e-85	1.8252475446841	no
B35	B80	146	158724	14906	0.000676901964407317	1.31723647337823	no
B35	B82	101	158724	7816	0.00258773057446832	1.32776837691086	no
B35	B86	181	158724	10059	7.41095838044564e-05	1.35260554721623	no
B35	D70	206	158724	14996	4.60744869663571e-05	1.33881451556972	no
B35	H04	703	158724	54014	3.08720609979941e-12	1.33497036215807	no
B35	H11	795	158724	47871	6.58436615293614e-16	1.37562253407249	no
B35	H62	143	158724	5437	0.000197695146383336	1.3729810698976	yes
B35	L01	244	158724	27974	5.76361318489575e-08	1.46894593566434	no
B35	L03	1301	158724	64027	1.23715831422632e-22	1.35537164326895	yes
B35	L20	594	158724	91573	1.6980499608581e-16	1.46517363474103	no
B35	L21	962	158724	80456	5.45725656033096e-18	1.36454421417145	no
B35	L25	387	158724	43066	3.11817196321022e-11	1.45856002843508	no
B35	L29	1559	158724	123810	1.73624323912202e-24	1.33621110184911	no
B35	L30	3569	158724	130196	4.20790536775928e-101	1.51065779035804	yes
B35	L40	407	158724	47039	7.33538072331291e-09	1.36499758503798	no
B35	L43	180	158724	10580	8.61459311446489e-05	1.34885880987648	no
B35	L60	1090	158724	54291	5.57475489357561e-89	2.06889698061899	yes
B35	L63	152	158724	14334	8.38840620942353e-05	1.39198370942305	no
B35	L65	463	158724	31159	3.06923253058814e-10	1.37802552061123	no
B35	L71	261	158724	13945	1.11057187101688e-11	1.63043244852925	no
B35	L73	467	158724	28504	1.43701461131384e-09	1.35639652486607	yes
B35	L84	224	158724	9722	2.65565620109817e-10	1.63391924842791	yes
B35	L85	465	158724	27148	1.63315110596009e-16	1.55075121241006	no
B35	L98	164	158724	18244	1.57446859156399e-06	1.51853087032005	no
B35	M67	325	158724	27822	1.00213202545313e-06	1.33279877901556	no
B36	B35	581	34343	158724	2.55000081391784e-29	1.73574729445037	yes
B36	B49	377	34343	68525	2.86600401160396e-35	2.17971998835365	yes
B36	L30	611	34343	130196	6.45432878621978e-10	1.31411648117955	yes
B37	A60	169	124520	8144	6.63092154533586e-18	2.27768962905341	no
B37	A63	276	124520	21956	8.87587457586389e-15	1.7371842786921	no
B37	B00	552	124520	49064	8.74743957042076e-12	1.37773053035835	no
