disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A04	K52	118	2154	152729	4.27828639858167e-18	2.8264244603278	no
A07	H10	132	2343	279856	0.000552206751532824	1.36141804038299	yes
A07	K02	123	2343	251964	0.000569778992503747	1.37426655310041	no
A08	A38	166	90769	10498	0.000623589533581482	1.3056749310927	no
A08	B09	104	90769	5131	0.00276554326881941	1.32588741477444	no
A08	B30	169	90769	13198	0.000342297777074283	1.32210065465464	no
A08	B34	4931	90769	249674	0	1.94465627995829	no
A08	D12	181	90769	31484	8.69695481240017e-05	1.35123555111975	no
A08	E73	149	90769	6731	2.73750755484652e-10	1.82605618327464	yes
A08	F32	1812	90769	184052	2.27523576217576e-41	1.43484929169672	yes
A08	F34	188	90769	17858	1.92943861926747e-05	1.38626721152096	no
A08	F41	5564	90769	460977	4.4656504187294e-137	1.47836759837842	no
A08	F43	995	90769	68957	1.43996034725594e-21	1.40565674763083	no
A08	G43	1188	90769	84262	1.76522813107663e-31	1.46997157064394	no
A08	H81	1291	90769	137772	1.29867567073643e-25	1.38934921569575	no
A08	I95	253	90769	15374	8.30004231288489e-06	1.34439764500958	no
A08	J01	1993	90769	119731	1.31004162082085e-46	1.4436284409026	no
A08	J04	1223	90769	77421	6.20118778731198e-32	1.4660656501412	no
A08	J06	1105	90769	85709	1.548081747228e-28	1.45992089747446	no
A08	J20	3416	90769	304718	2.24642696150574e-70	1.4182402589886	no
A08	J21	126	90769	10476	0.000291532291395666	1.38673554630843	no
A08	J22	2343	90769	144602	2.93218351027708e-47	1.40611800789991	yes
A08	J40	1660	90769	118305	1.08854296654116e-24	1.32831568600387	no
A08	K29	2041	90769	147900	1.55792331222853e-82	1.6417333103075	no
A08	K30	1392	90769	107713	8.49757964443953e-24	1.35497155522711	yes
A08	K35	177	90769	15165	1.21653758118098e-05	1.41385003107494	no
A08	K44	408	90769	48619	5.49967268248402e-07	1.30551055812439	yes
A08	K52	3333	90769	152729	6.4482630008778e-289	2.1460492955956	yes
A08	K57	293	90769	49151	1.3026439862208e-06	1.35265308184743	no
A08	K58	364	90769	20155	1.39673850095711e-29	2.03153348041864	yes
A08	K90	133	90769	8708	0.000156116790865992	1.39871307254652	no
A08	L55	108	90769	7445	0.000540858295534715	1.39575137005346	no
A08	M43	959	90769	50989	6.66970478959754e-22	1.41912293387748	yes
A08	M62	2039	90769	127432	5.08050176108018e-50	1.45815172759623	no
A08	N23	1363	90769	128362	2.78032162008826e-26	1.38345610045894	no
A08	O20	220	90769	16882	8.36340278108102e-08	1.48192201093979	no
A08	O21	321	90769	13949	8.06524587261344e-19	1.77825726481977	no
A08	O26	143	90769	7624	0.000515809096391057	1.33853474115074	no
A08	O46	130	90769	6110	0.000127954441453586	1.41199996182238	no
A08	R10	6392	90769	462110	3.36431078390948e-78	1.31280029135544	yes
A08	R11	3002	90769	138977	6.13651077224713e-186	1.88116514011617	no
A08	R42	2826	90769	214111	1.83577453490086e-56	1.40696568353191	yes
A08	R50	2451	90769	165349	2.18916529597528e-35	1.32960518243533	no
A08	S00	274	90769	20799	3.0292180011371e-06	1.34971278808921	no
A08	S13	587	90769	37348	1.34572165675881e-12	1.38296187490797	no
A08	S20	103	90769	11950	0.000727033679329808	1.39283714018917	no
A08	S23	297	90769	18324	2.96872677859429e-07	1.37719358038583	no
A08	S60	249	90769	21999	1.52172000514034e-06	1.38438261879014	no
A08	S92	438	90769	39682	5.89964220843276e-08	1.3241282313567	no
A16	J44	109	4832	60201	1.10499959771596e-27	4.30459642053957	no
A16	K02	146	4832	251964	1.6557025624338e-05	1.46324266781436	no
A38	H66	707	10498	123013	5.85545555012744e-11	1.32176429630148	no
A38	H91	116	10498	127528	0.00136849662772726	1.34025498054252	yes
A38	J35	455	10498	36555	3.49059492475493e-20	1.65383494528494	yes
A38	L03	129	10498	64027	0.00101017524289047	1.33355480541045	yes
A38	L30	251	10498	130196	2.72529373740342e-06	1.37418549311061	yes
A38	L50	348	10498	128369	5.3738530953592e-09	1.41361362765499	no
A38	R01	177	10498	35192	0.000502959688341517	1.30428327310575	no
A38	T78	204	10498	94480	0.000172187357141857	1.31252146542248	yes
A41	N18	109	1584	86575	2.97667511372663e-14	2.5579694661361	no
A41	N39	181	1584	307847	1.20057704126356e-14	2.05576761001443	no
A49	B37	151	4384	124520	2.63008014735689e-11	1.91345507432359	no
A49	J22	127	4384	144602	0.00146403886309082	1.32375707263046	no
A49	L02	125	4384	95034	2.14246873757745e-19	2.82671379445856	no
A49	L29	130	4384	123810	3.38693222452344e-07	1.65605736759985	no
A49	M62	100	4384	127432	0.00187224627711103	1.35636108668542	yes
A49	N39	245	4384	307847	2.92009194237992e-06	1.38452489560156	no
A49	N76	105	4384	92961	1.3910929508725e-06	1.70370404566356	no
A56	N39	104	1445	307847	0.00132441206576694	1.37516267862074	no
A59	B37	228	3160	124520	2.41664687093907e-27	2.49003836307454	no
A59	E66	126	3160	308555	8.12071564506341e-05	1.44754366821347	no
A59	K02	111	3160	251964	2.7103860090382e-07	1.75678697740135	no
A59	K08	106	3160	122700	7.67337847175548e-06	1.61661145175362	no
A59	L29	159	3160	123810	8.5162666377056e-12	1.92067302658462	no
A59	M75	120	3160	243033	0.000585707142914476	1.375565877404	no
A59	N30	117	3160	156257	0.00142494217494135	1.34123986036124	no
