disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A04	K52	132	2154	152729	0.000147472727741088	1.42764911519272	no
A07	B08	113	2343	53557	0.000598013186220096	1.39843424149066	yes
A08	B34	8492	90769	249674	1.59256478234907e-247	1.54572890729025	no
A08	F43	2001	90769	68957	6.92602841869185e-31	1.33902928976593	yes
A08	H81	2477	90769	137772	8.95620931311539e-32	1.30522330908629	no
A08	J04	2100	90769	77421	1.77968962247657e-33	1.34710271836393	no
A08	J06	2471	90769	85709	5.03508348687032e-32	1.30715568747754	no
A08	K29	3304	90769	147900	2.89512730104935e-51	1.34921712660726	no
A08	K52	5481	90769	152729	1.12873303221904e-241	1.70478482972572	no
A08	K58	553	90769	20155	5.5463438274272e-22	1.60683523875749	no
A08	O20	465	90769	16882	3.08436559266446e-13	1.4634438281268	no
A08	O21	510	90769	13949	6.46847030499386e-21	1.61824218787768	no
A08	R11	5312	90769	138977	1.56289619145394e-190	1.61150699378718	no
A08	S20	172	90769	11950	0.00015194506869711	1.34301614649979	no
A08	S40	102	90769	6978	0.00168296029831142	1.35565017458349	no
A16	J18	106	4832	73926	0.00242776810806488	1.32989549897921	yes
A16	J22	350	4832	144602	1.92357937032949e-07	1.3627149082986	yes
A16	J44	166	4832	60201	1.17925328971344e-22	2.64295963609239	yes
A16	R04	100	4832	51637	9.2127279137967e-07	1.80137079792172	yes
A38	B09	194	10498	5131	1.9228662064544e-08	1.59195182261656	yes
A38	E30	243	10498	6749	1.43093737200368e-08	1.5105069008763	yes
A38	H01	126	10498	27816	0.000976840858256354	1.33773440481249	yes
A38	J35	434	10498	36555	7.65321042581726e-08	1.3257724981728	yes
A41	N18	166	1584	86575	4.97684091723092e-08	1.67195767450325	no
A46	L03	120	1725	64027	1.75397146468542e-16	2.66855504576765	yes
A49	B37	229	4384	124520	5.05419168854673e-05	1.3264424245421	yes
A49	D64	111	4384	74412	0.00220643457586891	1.32604727130541	no
A49	K80	100	4384	76361	0.00121348324601902	1.38515696450061	no
A49	L02	155	4384	95034	3.80746769616028e-05	1.42966755444553	yes
A49	L03	141	4384	64027	5.24028114816117e-05	1.44552601106803	yes
A49	L29	207	4384	123810	0.000232331319122136	1.30044265846978	yes
A49	N76	155	4384	92961	0.000417570809728124	1.33438040546948	yes
A49	R52	140	4384	128735	1.02042435478188e-05	1.51834205522297	no
A53	B35	173	3054	158724	2.93473582308843e-05	1.41247346107473	yes
A53	L29	115	3054	123810	0.000176493397472462	1.4567000526435	yes
A59	F51	155	3160	142532	0.000788401109696986	1.31147855570565	yes
A59	K02	203	3160	251964	3.32167678751338e-09	1.63703749329424	no
A59	K04	168	3160	97039	9.78309541306941e-05	1.37534619548381	yes
A59	K05	123	3160	124242	0.00101347484624402	1.34674231272378	no
A59	K08	266	3160	122700	3.33866239614853e-09	1.52989654169035	yes
A59	L29	206	3160	123810	2.56248349151301e-05	1.37256047017867	no
A59	N76	260	3160	92961	1.48570729909105e-14	1.79060791088894	no
A59	N89	131	3160	27821	9.07429234681227e-12	2.0991436648372	no
A59	N91	200	3160	73645	6.72281188361792e-11	1.74620925320582	no
A59	R51	249	3160	179516	1.90637511005101e-06	1.39951324252381	no
A60	A63	123	8144	21956	1.23428300974898e-08	1.85721497680605	no
A60	B00	194	8144	49064	9.94367207803545e-14	1.90774400972703	no
A60	B37	519	8144	124520	3.72832761209378e-13	1.44379968394325	no
A60	H11	119	8144	47871	0.00236546813053638	1.3066039086432	no
A60	K60	119	8144	40809	0.000492706512963694	1.38614749303465	no
A60	L29	439	8144	123810	7.68736036661407e-13	1.48418343607444	no
