disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A04	B34	145	2154	249674	0.000518328010464848	1.3455504638504	no
A04	K52	147	2154	152729	1.01932006218563e-14	2.23203367426322	no
A07	B08	107	2343	53557	8.1144204411238e-05	1.50773815552193	yes
A07	K02	171	2343	251964	0.000343423860294329	1.32979239416721	no
A08	B30	254	90769	13198	1.02453660639702e-05	1.33772509233812	no
A08	B34	7087	90769	249674	0	1.83738178627605	no
A08	E16	123	90769	5605	4.93275342599415e-05	1.46993280368803	no
A08	E73	201	90769	6731	1.84004281131154e-09	1.61683119736686	yes
A08	F32	2569	90769	184052	3.47147538571216e-47	1.38423343798317	yes
A08	F34	283	90769	17858	1.3936503781116e-07	1.40222760939845	no
A08	F41	7836	90769	460977	1.43350669518727e-152	1.41999074101719	no
A08	F43	1496	90769	68957	1.28294754477659e-29	1.39230179921107	yes
A08	G43	1727	90769	84262	2.01482181843404e-35	1.40463531772696	no
A08	H81	1934	90769	137772	6.67368006275548e-37	1.3883795716227	no
A08	I95	375	90769	15374	2.50464188100048e-07	1.33139623783532	yes
A08	J01	2991	90769	119731	1.17089896226194e-55	1.39004396117575	no
A08	J04	1760	90769	77421	1.04228986915485e-43	1.45922535351702	no
A08	J05	105	90769	4294	0.00195356219988243	1.33922240826865	no
A08	J06	1727	90769	85709	1.23246180089133e-40	1.44274044348828	no
A08	J20	4764	90769	304718	3.19922116640224e-72	1.35073539953651	no
A08	J21	175	90769	10476	8.05408908122835e-05	1.35918170159062	no
A08	J22	3714	90769	144602	1.15697248166973e-51	1.32881002683876	yes
A08	K29	2898	90769	147900	9.55018125235894e-98	1.57388879716066	no
A08	K35	252	90769	15165	8.22798103501382e-06	1.34411969077977	no
A08	K52	4745	90769	152729	0	2.02892949294892	yes
A08	K57	452	90769	49151	1.8575602584888e-07	1.30236344000169	no
A08	K58	513	90769	20155	4.27599227780617e-35	1.9120220132439	yes
A08	K90	203	90769	8708	6.5180385086659e-05	1.3354973826998	yes
A08	L55	159	90769	7445	0.000192527994156182	1.35087076899751	no
A08	M43	1565	90769	50989	1.08881098324902e-24	1.33949049467317	yes
A08	M62	3049	90769	127432	9.08171012352147e-55	1.38179014598873	no
A08	N23	1974	90769	128362	5.01571797557794e-27	1.31482567865771	no
A08	N41	259	90769	20858	3.56573361399283e-06	1.35674697618136	no
A08	O20	327	90769	16882	8.28936165632685e-10	1.45388793122159	no
A08	O21	443	90769	13949	1.48759717034641e-22	1.71776592979713	no
A08	O26	217	90769	7624	5.07216668357254e-05	1.32954584897329	no
A08	O46	199	90769	6110	0.000156207038426312	1.3149616402816	yes
A08	R11	4361	90769	138977	1.58947663272455e-236	1.80894988440277	no
A08	R42	4300	90769	214111	2.99025915016917e-61	1.33597557169155	yes
A08	R50	3558	90769	165349	8.95936125393403e-45	1.30863077668072	no
A08	S00	391	90769	20799	2.37523973362905e-07	1.32441010372006	no
A08	S13	905	90769	37348	2.14187011424733e-16	1.35625722649972	no
A08	S20	143	90769	11950	0.000215832488376172	1.36939250869287	no
A08	S23	475	90769	18324	2.49359535232458e-10	1.37530485651564	no
A08	S40	104	90769	6978	1.17950889609512e-05	1.60628800943655	no
A08	S60	348	90769	21999	2.27720406262811e-06	1.30932324451954	no
A16	D50	123	4832	138143	2.05635374104825e-05	1.51598362465083	no
A16	J22	200	4832	144602	3.96337395462618e-06	1.42363207570096	no
A16	J44	152	4832	60201	6.07892469443204e-31	3.51182165215731	yes
A16	K02	205	4832	251964	2.30171517938126e-06	1.43202240722285	no
A16	L29	133	4832	123810	4.11451933827532e-05	1.45972073964638	yes
A37	R05	140	1395	310037	0.000311005834685163	1.38040191036944	no
A38	B09	134	10498	5131	2.20809280672474e-08	1.75743055130677	yes
A38	J05	104	10498	4294	0.000284418888746127	1.44128582696848	no
A38	J35	583	10498	36555	3.24345964238596e-22	1.60122868394316	yes
A38	L30	404	10498	130196	2.86240872441795e-07	1.32135546032248	yes
A38	L50	503	10498	128369	4.45392349756515e-10	1.36442105448768	yes
A38	N48	213	10498	24184	0.000147220358808237	1.30769465276031	yes
A41	E66	128	1584	308555	0.00132413221517701	1.33335848690864	no
A41	J22	141	1584	144602	0.00142310572748698	1.31425894307421	no
A41	N18	137	1584	86575	8.90203832952731e-11	1.99213196909843	no
A41	N39	237	1584	307847	4.38355419282081e-14	1.85333021613365	no
A46	L03	115	1725	64027	1.57206689177812e-31	4.81842606218561	no
A49	B37	206	4384	124520	1.19698554414001e-10	1.69351757169723	no
A49	L02	161	4384	95034	1.48730349294754e-18	2.38580872866939	no
A49	L03	115	4384	64027	1.66274527449525e-12	2.27486046581816	no
A49	L29	188	4384	123810	5.41810357498185e-08	1.56753152741887	no
A49	N39	355	4384	307847	3.67424852624317e-06	1.31013815268176	no
A49	N76	141	4384	92961	4.81809850834348e-07	1.6176350801161	no
A49	R52	126	4384	128735	0.000120585207082668	1.4306509199453	no
A53	B35	119	3054	158724	0.0016751030125827	1.32909057091661	no
A53	I84	100	3054	146005	0.00276271717546224	1.33633305272119	no
A53	L30	119	3054	130196	0.00011317427693599	1.45312832535648	yes
A54	N34	105	1888	11362	1.04169514005984e-41	12.847164017204	no
A56	B37	120	1445	124520	9.80166227651184e-09	1.90302492209798	no
A56	N39	155	1445	307847	0.000129278180117314	1.39252143116283	no
A56	R10	183	1445	462110	0.000436496415543585	1.31910304901132	no
A59	B37	296	3160	124520	2.17842862167704e-26	2.17136950592939	no
A59	E66	209	3160	308555	1.19705796883172e-08	1.57400425613467	no
A59	F51	105	3160	142532	0.00251821272817391	1.33190713072917	no
A59	K02	167	3160	251964	6.13186580278004e-11	1.83972122955656	no
A59	K04	109	3160	97039	0.000348527151883067	1.42342517475506	no
A59	K08	162	3160	122700	6.08094005726786e-07	1.55500795157524	no
A59	L29	221	3160	123810	1.82448873939065e-15	1.92495878168434	no
A59	N76	333	3160	92961	2.13597083930764e-56	3.16380267952282	no
A59	N89	108	3160	27821	4.68607275592976e-16	2.74646122614875	no
A59	N91	181	3160	73645	2.68684528112364e-12	1.87839902387742	no
A59	R51	181	3160	179516	7.29019435588541e-05	1.36575031610218	no
A60	A63	171	8144	21956	3.43228374101317e-34	3.45251457769951	no
A60	B00	197	8144	49064	3.58310614022449e-25	2.53191251777446	no
A60	B02	116	8144	79342	5.28158544877939e-06	1.59980748107435	no
A60	B37	568	8144	124520	2.56936561701054e-44	2.0543386577585	no
A60	B49	159	8144	68525	0.00053541409063022	1.3187303374456	no
A60	I84	257	8144	146005	2.73794712108319e-05	1.31838512448609	no
A60	K12	110	8144	52091	0.00162453970390683	1.34122819892327	no
A60	K59	205	8144	130936	0.000189281719125201	1.30803270887791	no
A60	K62	124	8144	64567	0.0019595718530481	1.31092341597182	no
A60	L29	459	8144	123810	1.2109204529645e-36	2.05955033201582	no
A60	N48	100	8144	24184	3.65814309460144e-22	3.73218847869117	no
A60	N64	241	8144	82033	2.79323194181545e-05	1.32930137449773	no
A60	N76	459	8144	92961	9.40050451282773e-44	2.22811158957823	no
A60	N87	187	8144	26745	4.73936137313037e-26	2.66324266067103	no
A60	N89	187	8144	27821	4.8712877402039e-24	2.53674215826508	no
A60	N91	268	8144	73645	7.9646719817193e-08	1.43446793239686	no
A60	N95	118	8144	87463	0.000116052007053041	1.44806440210756	no
A63	A56	123	21956	1445	3.42859208118558e-42	6.90967311410054	yes
A63	A60	201	21956	8144	7.18393970342228e-42	3.57179688128548	no
A63	A64	184	21956	2266	2.24407852971321e-72	12.3607325825718	yes
A63	B07	823	21956	197501	4.42052469592632e-31	1.60226326620861	no
A63	B08	310	21956	53557	1.08599441766227e-97	5.90488467362584	yes
A63	B36	246	21956	34343	1.54773761407397e-08	1.48939214220055	no
A63	B37	1093	21956	124520	8.37447386613092e-46	1.66112260322108	no
A63	B97	499	21956	12804	4.0050861274237e-176	7.47696186684438	yes
A63	F10	232	21956	48648	1.70891201230324e-12	1.71430581154915	no
A63	F12	120	21956	8985	4.4123457712542e-10	1.98799199921748	no
