disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A08	B34	2344	90769	249674	2.20983285420689e-119	1.75970560903746	no
A08	F32	814	90769	184052	9.39923706880205e-13	1.31824397707438	no
A08	F41	2437	90769	460977	5.40733988017272e-31	1.30411211686861	no
A08	F43	511	90769	68957	1.48927090335604e-11	1.38869296543608	no
A08	J01	1007	90769	119731	5.88048312431923e-20	1.38125861991202	no
A08	J04	575	90769	77421	7.06735966000578e-13	1.39210758116135	no
A08	J06	543	90769	85709	1.46527077308747e-08	1.30136375324378	no
A08	K29	896	90769	147900	2.67733090184693e-22	1.44122952805361	no
A08	K52	1515	90769	152729	1.77836354073105e-97	1.89519222894123	no
A08	K58	168	90769	20155	2.26544723148906e-12	1.91335317134229	no
A08	M22	131	90769	19193	0.000283854863739157	1.37211533422365	no
A08	M43	522	90769	50989	4.26679298968105e-09	1.32214636823411	yes
A08	O03	137	90769	19883	0.000922060775559573	1.31773868305226	no
A08	O20	112	90769	16882	1.82133621260037e-05	1.53932406240687	no
A08	O21	146	90769	13949	2.34685575190068e-08	1.6936779381515	no
A08	R11	1437	90769	138977	1.41212028813061e-71	1.73817135546597	no
A08	S00	147	90769	20799	0.00019365681361545	1.36186454295677	no
A08	S23	169	90769	18324	9.67642473772288e-05	1.35625877795265	no
A08	S60	123	90769	21999	0.00153316166480303	1.31565252081337	no
A38	J35	179	10498	36555	7.65569606465091e-05	1.35447840621082	no
A38	L30	148	10498	130196	4.04145641358488e-05	1.41832501462516	yes
A59	M25	119	3160	441380	0.00140606031138245	1.33085784716639	no
A60	B37	147	8144	124520	1.59898601130731e-05	1.45433893910475	no
A60	L29	136	8144	123810	1.05248396736397e-07	1.68201765752633	no
A60	N76	126	8144	92961	2.86504469080948e-07	1.68218102402069	no
A63	B07	261	21956	197501	2.97773172348257e-08	1.45221909069776	no
A63	B37	325	21956	124520	2.41145065057825e-09	1.43717195349714	no
A63	B97	131	21956	12804	6.67979783104344e-41	5.8037646604119	yes
A63	F17	417	21956	295027	1.00805934865399e-08	1.35758122807256	no
A63	L29	251	21956	123810	2.5858797721689e-06	1.36889323187261	no
A63	N76	239	21956	92961	3.34869135716645e-07	1.42511969625183	no
A63	N87	178	21956	26745	2.02173197872446e-42	4.06226733811446	no
B00	B02	307	49064	79342	4.61010361361955e-12	1.55686417202815	no
B00	B49	340	49064	68525	1.10293844285641e-08	1.39943722376424	no
B00	H00	316	49064	66474	5.51365530377093e-09	1.4290997969956	no
B00	H01	154	49064	27816	1.15000968832274e-06	1.52735875330024	no
B00	H04	213	49064	54014	3.55207412348165e-06	1.39729700919181	no
B00	H10	1170	49064	279856	2.74758139940215e-23	1.38906699491287	no
B00	J04	349	49064	77421	6.3554892655752e-07	1.32879854849125	no
B00	K12	344	49064	52091	6.19368418116514e-19	1.75026677965328	no
B00	K13	107	49064	15168	2.04378294511392e-06	1.6748263883068	yes
B00	L01	214	49064	27974	2.33183584921335e-12	1.74652255802815	no
B00	L30	833	49064	130196	3.71670480467672e-21	1.44684033634497	yes
B00	L60	260	49064	54291	2.94466648419671e-08	1.45192978391508	no
B00	S00	102	49064	20799	0.00147643215785921	1.35197288274414	no
B02	B00	443	79342	49064	2.27538864009054e-43	2.22658573926474	yes
B02	G53	183	79342	5530	3.80013554316003e-70	10.4712652626188	yes
B07	A63	327	197501	21956	3.55121906862156e-16	1.67992279513261	no
B07	B00	781	197501	49064	1.92947702172163e-13	1.33704448812476	no
B07	B08	1242	197501	53557	1.4383502751145e-49	1.62295609803284	no
B07	C44	415	197501	35086	4.1603190860062e-14	1.51387929631653	yes
B07	D17	808	197501	75110	1.26308525410366e-13	1.33360755104521	no
B07	D18	250	197501	19821	5.89346829205518e-06	1.34996400165292	no
B07	D22	1942	197501	137295	3.869775738265e-54	1.49393142463193	no
B07	D23	972	197501	71865	2.90387841170482e-41	1.64566702584129	no
B07	E30	285	197501	6749	3.33564556354738e-09	1.46579372207222	yes
B07	F95	146	197501	5104	6.03334886157854e-05	1.40464109756316	no
B07	H02	190	197501	13376	0.00012959305701975	1.32503232444269	no
B07	J38	109	197501	9913	0.0030791733809269	1.30444238167206	no
B07	L57	559	197501	34156	1.79510471825853e-30	1.76359812599704	yes
B07	L63	176	197501	14334	5.75690525222926e-05	1.36358923273989	no
B07	L72	1086	197501	82063	1.21926776238134e-17	1.33477802543934	yes
B07	L81	333	197501	24257	1.81864584102492e-07	1.35767926102107	no
B07	L82	753	197501	41043	4.85958769466519e-53	1.94427747910478	yes
B07	L84	198	197501	9722	1.54325007149128e-13	1.86515785396091	yes
B07	L85	444	197501	27148	1.55585838347337e-12	1.44930496896845	no
B07	M92	245	197501	5353	3.269186436623e-06	1.36704301174407	yes
B07	N84	200	197501	20446	1.20919119692693e-05	1.37981047758606	no
B07	Q66	462	197501	23375	2.41039030570597e-08	1.32326813732839	no
B07	R23	332	197501	12165	7.70708701090932e-08	1.37249260553178	yes
B07	R61	138	197501	8186	0.000661444849046254	1.32899165220416	no
B08	A38	217	53557	10498	2.21661211989892e-05	1.34765159614163	no
B08	B02	175	53557	79342	9.65950185041208e-06	1.41878121311929	yes
B08	B07	1757	53557	197501	1.2922171188515e-50	1.50984165798844	yes
B08	B09	154	53557	5131	5.79398480677679e-06	1.47167962048115	no
B08	F80	146	53557	5062	6.42029910491662e-08	1.65613276601819	no
B08	J05	112	53557	4294	0.000335645072819101	1.40162511645573	no
B08	K07	1262	53557	89004	9.85012626270232e-18	1.31094383630134	yes
B08	L01	585	53557	27974	7.04217603743203e-12	1.36707437470851	no
B08	L20	932	53557	91573	5.60670705747304e-19	1.38726908470545	no
B09	B08	105	5131	53557	0.00263132755497001	1.3211181960671	no
B18	E03	119	17550	122667	0.000636273552101295	1.36024281368116	yes
B18	F10	126	17550	48648	4.93026523843818e-16	2.49897557531985	no
B18	F17	292	17550	295027	4.71301913850647e-06	1.32748147071355	yes
B18	F32	262	17550	184052	5.52406717825393e-09	1.48571187453856	yes
B18	K05	160	17550	124242	1.80981004405221e-06	1.4998842604869	yes
B18	K80	112	17550	76361	0.00026005046007656	1.4143314187653	no
B30	H10	356	13198	279856	1.81670942574228e-12	1.52328562885729	no
B34	A08	2549	249674	90769	1.7039687053483e-207	2.07393735312423	no
B34	A38	257	249674	10498	9.65788869404831e-15	1.75562775581441	no
B34	B09	194	249674	5131	2.67952254823566e-08	1.55176551584707	no
B34	B30	229	249674	13198	6.87923422555156e-08	1.47036504667385	no
B34	B80	466	249674	14906	4.88917957903389e-11	1.39630738274031	no
B34	B99	586	249674	22334	1.33500371875007e-17	1.48530000372104	yes
B34	E30	228	249674	6749	1.86981021803552e-05	1.34162413687793	no
B34	F81	138	249674	4819	0.000295728124476829	1.35932643445399	no
B34	G43	1362	249674	84262	3.09936810624106e-21	1.33143653711721	no
B34	H92	2060	249674	89073	1.24785660182995e-34	1.3561670934177	yes
