disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A08	B34	1992	90769	249674	3.3188012007131e-26	1.30666152483361	no
A08	K52	1214	90769	152729	1.01199641339934e-26	1.41876508243741	no
A08	O20	138	90769	16882	6.6744707033774e-06	1.54585696603634	no
A08	O21	128	90769	13949	6.75827567149498e-05	1.46814933837016	no
A08	R11	1216	90769	138977	5.00455657693848e-26	1.41080321505831	no
A63	B07	234	21956	197501	3.1477169662866e-06	1.39124677128126	no
B00	B02	342	49064	79342	1.34113660164377e-11	1.52273143971535	no
B00	L01	143	49064	27974	0.000128314059598007	1.40143696384297	no
B00	R23	164	49064	12165	7.4056502538428e-05	1.38523179144523	yes
B02	B00	351	79342	49064	1.46512244935264e-19	1.77450360004665	no
B07	A63	271	197501	21956	4.99118654776945e-08	1.44668971185698	no
B07	B08	479	197501	53557	5.62570050959097e-08	1.30560461640699	no
B07	C44	508	197501	35086	4.13623946490377e-09	1.32788710007936	yes
B07	D18	268	197501	19821	1.93377143920145e-06	1.36619360582795	no
B07	D22	1937	197501	137295	1.29463136108594e-55	1.50820210792793	yes
B07	D23	1208	197501	71865	4.43244434836024e-67	1.79756588402129	yes
B07	L57	767	197501	34156	6.91383549883756e-24	1.52017729840742	yes
B07	L72	1343	197501	82063	4.80743238934815e-20	1.32226640141188	yes
B07	L81	354	197501	24257	1.94313960471489e-07	1.34767807832646	yes
B07	L82	1273	197501	41043	1.50056560860662e-108	2.10960975725392	yes
B07	L84	225	197501	9722	7.2640274927734e-06	1.37648630406518	yes
B07	L85	461	197501	27148	3.51357029794122e-12	1.44079417062016	yes
B07	L90	173	197501	5664	0.000101560487334322	1.35866909633624	yes
B07	L98	146	197501	18244	0.000756607638473379	1.31714878084627	no
B08	N47	265	53557	38862	1.71456277371621e-06	1.37262340558782	no
B18	K80	118	17550	76361	4.92840725774447e-05	1.51801134360403	yes
B34	A08	1866	249674	90769	3.72807161327042e-72	1.62078057430401	no
B34	B09	181	249674	5131	0.000110053459705776	1.34486832640345	no
B34	B30	214	249674	13198	0.000109141889104219	1.309507648745	no
B34	E73	175	249674	6731	9.60574926041165e-07	1.52148675779442	yes
B34	F43	1259	249674	68957	3.75979765174587e-19	1.32453634874044	yes
B34	J01	2533	249674	119731	9.84108992875973e-34	1.31062489457275	yes
B34	J06	1840	249674	85709	1.91399043049929e-41	1.43098179656533	yes
B34	J32	322	249674	12553	6.71718108635483e-07	1.3457184782249	yes
B34	K52	2697	249674	152729	7.90809335961573e-35	1.30556358407211	no
