disease1	disease2	number_patients	n_disease1	n_disease2	lfsr	OR	significant_directionality
A08	B34	2156	90769	249674	1.85326995123025e-69	1.55110495035246	no
A08	F43	501	90769	68957	3.97725073001823e-09	1.32966618895102	no
A08	H81	643	90769	137772	3.56683101602869e-12	1.35227632869938	no
A08	J04	537	90769	77421	1.41229346749144e-12	1.40195010849346	no
A08	J06	622	90769	85709	4.71013501712123e-13	1.37784158524966	no
A08	K11	129	90769	15907	0.000498629301218622	1.35284361409611	yes
A08	K29	857	90769	147900	4.40219962123394e-18	1.3924843885966	no
A08	K52	1412	90769	152729	6.47007833898379e-69	1.72961789469904	no
A08	K58	149	90769	20155	8.97274340459494e-07	1.56314954751834	no
A08	O21	122	90769	13949	0.000108005372028033	1.43527865093624	no
A08	R11	1359	90769	138977	7.23009090531256e-52	1.61047322103935	no
A08	R55	362	90769	60275	5.84567642697031e-07	1.32167454656392	no
A60	B37	136	8144	124520	0.000321441698218805	1.3624741239164	no
A60	L29	124	8144	123810	3.16200458846735e-06	1.60140391480589	no
A60	N76	112	8144	92961	4.61033579689311e-05	1.5117222635154	no
A63	B07	233	21956	197501	4.09625250183714e-05	1.3187220154534	no
A63	N87	116	21956	26745	1.68369710688786e-12	2.27838506995653	no
B00	B02	342	49064	79342	1.8664139906975e-18	1.74774396110135	no
B00	H92	459	49064	89073	9.68631057329211e-09	1.33632357772962	no
B00	K12	291	49064	52091	2.16520155849456e-08	1.42903829026967	no
B00	K13	102	49064	15168	0.00173454003492514	1.34382944409621	yes
B00	L01	176	49064	27974	6.03337169417577e-07	1.50916457602447	no
B00	L21	312	49064	80456	4.20245106557226e-07	1.3571265062918	yes
B00	L23	134	49064	34970	0.000685461042022958	1.33201932267979	no
B00	R14	188	49064	29849	4.62937865605993e-05	1.35641143990438	yes
B02	B00	379	79342	49064	8.94072634122133e-28	1.96286287653893	no
B02	G53	146	79342	5530	1.59783712267175e-55	10.5148776171064	yes
B07	A63	296	197501	21956	1.27264314861303e-09	1.47576161014308	no
B07	B08	912	197501	53557	1.68983864157291e-23	1.45215543593219	no
B07	D22	1947	197501	137295	3.77131187278483e-52	1.48168021035455	yes
B07	D23	1154	197501	71865	5.90849752340521e-70	1.84965307839187	yes
B07	H00	1211	197501	66474	1.60417183314301e-16	1.30062312008693	yes
B07	L21	1112	197501	80456	1.9610853630975e-16	1.31455291220258	yes
B07	L57	610	197501	34156	5.4845724279421e-20	1.52259974385025	yes
B07	L72	1178	197501	82063	2.78467393315938e-18	1.32659433710217	yes
B07	L81	381	197501	24257	1.86373152282269e-11	1.46444153938089	no
B07	L82	962	197501	41043	5.13697507038575e-81	2.09394643271046	yes
B07	L84	220	197501	9722	4.72274363130488e-18	2.03455633352204	yes
B07	L85	416	197501	27148	5.1175793565199e-10	1.39479807399656	no
B07	M92	304	197501	5353	6.10482770909238e-08	1.39727465664537	yes
B07	R23	402	197501	12165	2.38099406276974e-07	1.31614923393423	yes
B07	R48	127	197501	3410	0.00044768739219358	1.36075349589368	yes
B08	B07	1595	53557	197501	1.58951844112183e-28	1.37034639949051	yes
B08	B80	345	53557	14906	4.96320364041888e-09	1.4093168530665	yes
B08	B82	115	53557	7816	0.00206466236313317	1.31202677385379	yes
B08	D22	554	53557	137295	3.44985602282908e-11	1.36252753844801	yes
B08	D23	100	53557	71865	4.49046654561416e-05	1.55863635446333	yes
B08	E30	205	53557	6749	3.50609024664e-05	1.34620118844668	yes
B08	F81	123	53557	4819	0.00114753882920783	1.3264875858872	yes
B08	J18	399	53557	73926	3.19719646469727e-07	1.31399134834292	no
B08	R59	389	53557	48316	1.01024833032611e-06	1.30085992287267	yes
B09	J20	106	5131	304718	0.00247945384171697	1.32075796694471	no
B16	K02	134	9951	251964	1.77217956193576e-05	1.4881790636906	yes
B16	R51	126	9951	179516	0.000664772356284236	1.34751440819594	yes
B18	F10	104	17550	48648	2.23609076324752e-10	2.18168571657255	no
B18	F17	284	17550	295027	6.60151725045617e-06	1.32441147366155	yes
B18	F51	229	17550	142532	8.80768074077139e-06	1.36045729363695	yes
B18	J44	104	17550	60201	9.33300571028515e-05	1.50011718878514	yes
B18	K02	237	17550	251964	7.42871490932257e-09	1.52026338545385	yes
B18	K05	154	17550	124242	7.50104552907013e-06	1.47191894135531	yes
B18	K80	134	17550	76361	3.49513586804263e-08	1.75524873405112	yes
B27	D22	149	14168	137295	0.000945392395466749	1.3016237914969	no
B30	H10	343	13198	279856	3.09881690700643e-13	1.57077006195944	no
B34	A08	2333	249674	90769	4.74975071427587e-161	1.94444370923075	no
B34	A38	196	249674	10498	2.26471034076757e-10	1.69359413497807	no
B34	B08	1104	249674	53557	3.18108357022776e-18	1.33824040009102	no
B34	B09	200	249674	5131	7.50947174183524e-07	1.45758343130552	no
B34	B85	152	249674	5807	8.55729336924471e-05	1.38425099147025	no
B34	E73	159	249674	6731	0.00039161582929607	1.32057796875279	no
B34	F43	1199	249674	68957	5.12251144654899e-19	1.331601150561	yes
B34	J01	2501	249674	119731	5.98668883266735e-48	1.39024085793083	yes
B34	J04	1449	249674	77421	1.28827740142909e-23	1.34225191952743	no
B34	J06	1482	249674	85709	1.88196819169917e-34	1.4330362671238	no
B34	J15	202	249674	21800	5.52750587199803e-05	1.3360772464042	no
B34	J18	1082	249674	73926	4.16215318143652e-18	1.34077966506699	no
B34	J21	143	249674	10476	6.48299062741664e-05	1.41056469458599	no
B34	J22	3875	249674	144602	1.66652654589678e-78	1.4096537100911	yes
B34	J40	2379	249674	118305	3.89825863931468e-37	1.3418864698847	yes
B34	K52	3147	249674	152729	2.32359878641185e-108	1.57644137662867	yes
B34	K60	653	249674	40809	2.76754582832368e-10	1.30858896964361	no
B34	L74	147	249674	4611	4.07676652633962e-07	1.59980899834725	no
B34	M43	1558	249674	50989	1.13489720339435e-26	1.35497022848755	yes
B34	M62	2581	249674	127432	8.1120514920578e-34	1.3075469943228	yes
B34	N12	127	249674	8452	0.000268666000147717	1.38290632566904	no
B34	N48	484	249674	24184	4.54640550240804e-08	1.30581274186411	no
B34	O02	124	249674	10315	0.000664875934687745	1.3486578965532	no
B34	O21	276	249674	13949	1.4622744831075e-14	1.71916658568834	no
B34	O26	163	249674	7624	0.000219500577736905	1.33579296164419	no
B34	R11	3169	249674	138977	3.03987375638052e-89	1.50404771244029	no
B34	R42	4004	249674	214111	3.75369699411223e-59	1.33685147570806	yes
B34	R50	3396	249674	165349	1.55789707361744e-83	1.4621775287881	no
B34	R53	2840	249674	135814	3.47881752139963e-42	1.33387768957479	yes
B35	B00	562	158724	49064	2.97598651611087e-09	1.31145641678031	no
B35	B36	399	158724	34343	7.90485595435272e-27	1.89860786138957	no
B35	B37	1651	158724	124520	1.86160691731635e-29	1.36656757967416	no
B35	B49	1486	158724	68525	1.02103469835056e-104	1.95686137120974	no
B35	B82	100	158724	7816	0.00116501277312979	1.36948938320833	no
B35	B86	166	158724	10059	1.45027881127492e-06	1.50126934985876	no
B35	H00	932	158724	66474	1.19030129258997e-16	1.35190568750996	no
B35	H01	480	158724	27816	1.04138516774008e-09	1.35369697391513	yes
B35	H11	778	158724	47871	1.41575353204839e-19	1.43957743885239	no
B35	H54	1774	158724	118688	9.22430178682541e-24	1.30620209949236	yes
B35	H62	129	158724	5437	0.00150662870662684	1.30591643529597	no
B35	J34	501	158724	35176	2.45790819349085e-08	1.30755936389897	no
B35	K12	719	158724	52091	1.52096466575297e-11	1.31737771180556	no
B35	K13	335	158724	15168	3.60046538710808e-07	1.3443480858394	yes
B35	L01	232	158724	27974	1.0572835192377e-06	1.40639129416491	no
B35	L03	1153	158724	64027	1.7421393354311e-20	1.35701795823544	yes
B35	L08	105	158724	7077	5.24766269188581e-05	1.52713072186825	no
B35	L20	705	158724	91573	4.47665256858724e-22	1.51102659654713	no
B35	L21	1040	158724	80456	7.90166026838738e-26	1.44485193934089	no
B35	L23	423	158724	34970	1.23814345568451e-09	1.37918814828487	no
B35	L25	420	158724	43066	1.55254683415338e-12	1.46811689278049	no
B35	L29	1711	158724	123810	5.31703827750796e-44	1.46709696126778	no
B35	L30	3417	158724	130196	3.943343778244e-122	1.59474347220951	yes
B35	L40	469	158724	47039	1.36291859405537e-17	1.56778028644519	no
B35	L42	142	158724	13505	0.000639727548001128	1.32344085219912	no
B35	L60	1110	158724	54291	3.58350194346135e-122	2.37150159153855	yes
B35	L65	470	158724	31159	3.11361036872986e-12	1.42715092516774	no
B35	L71	228	158724	13945	3.82008777966372e-08	1.4915562538474	no
B35	L73	464	158724	28504	1.11650078005882e-09	1.36001367787565	yes
B35	L81	316	158724	24257	3.56572579340739e-06	1.3146916433817	no
B35	L84	219	158724	9722	9.52269043433554e-12	1.71289799909208	yes
B35	L85	437	158724	27148	3.01574490878349e-16	1.56014470282061	no
B35	L98	172	158724	18244	1.06360160944416e-07	1.57439434922821	no
B35	M20	835	158724	67029	8.37486057196873e-16	1.36227358509414	no
B35	M72	672	158724	37615	1.50970681997929e-10	1.30937766832999	no
B35	M76	441	158724	26109	1.34849899744059e-07	1.30791808717101	yes
B35	N34	130	158724	11362	0.00147883613570369	1.30538702286235	no
B35	N76	1027	158724	92961	1.1489452493485e-20	1.38480785228242	no
B35	R14	651	158724	29849	8.49554022721532e-19	1.47839458831632	yes
B35	R19	220	158724	13537	4.37287210775677e-06	1.3847523833723	no
B35	R61	116	158724	8186	0.000449206887404923	1.38201184456566	no
B36	B35	509	34343	158724	2.1486961897892e-20	1.60614974961269	yes
B36	B49	365	34343	68525	2.24519079122435e-38	2.30353723145419	yes
B36	H00	223	34343	66474	1.6630051931843e-06	1.40675274329152	yes
B36	L30	589	34343	130196	6.82620626653137e-14	1.41112121508129	yes
B37	A60	201	124520	8144	4.62513543762303e-34	3.02939355832698	yes
B37	A63	298	124520	21956	4.12920828846289e-15	1.70019465059567	no
B37	B00	570	124520	49064	7.77625210196543e-17	1.4809518278423	no
B37	B08	201	124520	53557	0.00018940485515734	1.30258352406086	no
B37	B35	1819	124520	158724	1.18486419304857e-54	1.52081603620223	no
B37	B36	309	124520	34343	6.13537206132581e-09	1.43453840120891	no
B37	B49	1071	124520	68525	1.97074385813675e-73	1.93372555845683	yes
B37	B80	133	124520	14906	1.10486436878707e-08	1.80429618853836	no
B37	B97	203	124520	12804	0.000182284014156977	1.30201232875972	no
B37	D27	175	124520	17578	0.00013755513695075	1.33729708652319	no
B37	D50	1435	124520	138143	1.39527127412233e-20	1.31567731459995	no
B37	G44	767	124520	62289	5.76773789865891e-15	1.36709177661025	no
B37	H00	709	124520	66474	6.31560842862636e-13	1.34681359643735	no
B37	H01	357	124520	27816	1.14245366358764e-07	1.35046305673881	no
B37	H04	467	124520	54014	1.19982798550917e-10	1.38582879950639	no
B37	H10	2607	124520	279856	7.75571062966174e-39	1.33519180477317	no
B37	H11	481	124520	47871	6.88723226490532e-11	1.38547115806635	no
B37	H57	827	124520	82297	1.12211219530011e-15	1.36258899882314	no
B37	H92	988	124520	89073	3.39359161425765e-20	1.38812118857533	yes
B37	I80	220	124520	22937	0.000110702637355911	1.30210378402898	no
B37	I84	1268	124520	146005	7.91429719533681e-30	1.4342625124731	no
B37	J06	861	124520	85709	1.49029075717763e-13	1.32027543890723	no
B37	J30	1856	124520	210208	4.0484508028782e-24	1.30176357578974	no
B37	J31	173	124520	10549	9.62087648380652e-08	1.57518043553326	no
B37	K08	1957	124520	122700	1.21063579706487e-30	1.34082641400488	yes
B37	K12	704	124520	52091	1.15089645051014e-39	1.7965481459609	no
B37	K13	278	124520	15168	1.84554074261938e-12	1.62424523260785	yes
B37	K14	214	124520	9633	3.86644242900952e-29	2.62536215872877	no
B37	K21	773	124520	58034	5.58744669006462e-15	1.36563019109166	yes
B37	K29	1267	124520	147900	7.50901733633284e-19	1.32015731606042	no
B37	K58	216	124520	20155	6.157305675208e-06	1.3804526539039	no
